id_ocorrencia;data_hora_ocorrencia;faixa_1_hora_fato;mes;ano;dia_da_semana;status_registro;natureza_principal;tentado_consumado_nat_principal;causa_presumida;meio_utilizado;perimetro;local_imediato;bairro;municipio_codigo;municipio_fato;uf_sigla;numero_envolvido_ocorrencia;conducao_a_delegacia;tipo_envolvimento;raca_etnia;idade_aparente;sexo_codigo;lgbtqia;identidade_de_genero;orientacao_sexual;escolaridade;relacao_vitima_autor;bairro_envolvido;municipio_envolvido;uf_sigla_envolvido;natureza_delito_envolvido;tentado_consumado_delito_envolvido
A2026ID10007;2026-07-28 22:18:00;De 22:00 as 22:59;7;2026;Terça-Feira;FECHADO;VIAS DE FATO / AGRESSAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;VIOLENCIA OU VIAS DE FATO;URBANO;VIA DE ACESSO PUBLICA;SANTA MONICA;317020;UBERLANDIA;MG;2;;VITIMA DE ACAO CRIMINAL / CIVEL;PARDA;19,0;M;Sim;MULHER TRANSEXUAL;HETEROSSEXUAL;SUPERIOR INCOMPLETO;SEM RELACIONAMENTO;SANTA MONICA;UBERLANDIA;MG;VIAS DE FATO / AGRESSAO;Consumado
A2026ID10009;2026-07-28 19:50:00;De 19:00 as 19:59;7;2026;Terça-Feira;FECHADO;CALUNIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;OUTROS - ESTABELECIMENTOS DE LAZER/ CULTURA /;MUNDO NOVO;313670;JUIZ DE FORA;MG;1;SEM PRISAO;AUTOR;PRETO;29,0;F;Não;NAO INFORMADA;NAO INFORMADA;ESCOLARIDADE - IGNORADA;;MUNDO NOVO;JUIZ DE FORA;MG;CALUNIA;Consumado
A2026ID10009;2026-07-28 19:50:00;De 19:00 as 19:59;7;2026;Terça-Feira;FECHADO;CALUNIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;OUTROS - ESTABELECIMENTOS DE LAZER/ CULTURA /;MUNDO NOVO;313670;JUIZ DE FORA;MG;2;;VITIMA DE ACAO CRIMINAL / CIVEL;PRETO;33,0;M;Não;NAO INFORMADA;NAO INFORMADA;SUPERIOR INCOMPLETO;OUTRO PARENTESCO;MUNDO NOVO;JUIZ DE FORA;MG;CALUNIA;Consumado
A2026ID10013;2026-07-28 19:02:00;De 19:00 as 19:59;7;2026;Terça-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;VIA DE ACESSO PUBLICA;FLORESTA;310620;BELO HORIZONTE;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;BRANCA;22,0;M;Não;NAO INFORMADA;NAO INFORMADA;SUPERIOR INCOMPLETO;SEM RELACIONAMENTO;FLORESTA;BELO HORIZONTE;MG;INJURIA;Consumado
A2026ID10014;2026-07-28 08:10:00;De 08:00 as 08:59;7;2026;Terça-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;CENTRO;313240;ITAJUBA;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;BRANCA;26,0;F;Sim;MULHER TRANSEXUAL;HETEROSSEXUAL;SUPERIOR COMPLETO;SEM RELACIONAMENTO;AVENIDA;ITAJUBA;MG;INJURIA RACIAL;Consumado
A2026ID10014;2026-07-28 08:10:00;De 08:00 as 08:59;7;2026;Terça-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;CENTRO;313240;ITAJUBA;MG;2;SEM PRISAO;AUTOR;PARDA;38,0;F;Não;MULHER CISGÊNERO;HETEROSSEXUAL;ESCOLARIDADE - IGNORADA;;VILA DE LOURDES;MARIA DA FE;MG;INJURIA RACIAL;Consumado
A2026ID10015;2026-07-27 18:00:00;De 18:00 as 18:59;7;2026;Segunda-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;VIA DE ACESSO PUBLICA;CENTRO;313940;MANHUACU;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;BRANCA;62,0;F;Não;NAO INFORMADA;NAO INFORMADA;SUPERIOR COMPLETO;SEM RELACIONAMENTO;CENTRO;MANHUACU;MG;INJURIA RACIAL;Consumado
A2026ID10016;2026-07-27 18:00:00;De 18:00 as 18:59;7;2026;Segunda-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;APARTAMENTO;CENTRO;313940;MANHUACU;MG;1;;VITIMA - OUTROS;PARDA;24,0;F;Sim;NAO INFORMADA;HOMOSSEXUAL;ENSINO MEDIO INCOMPLETO ( 2º GRAU);SEM RELACIONAMENTO;CENTRO;MANHUACU;MG;INJURIA RACIAL;Consumado
A2026ID10016;2026-07-27 18:00:00;De 18:00 as 18:59;7;2026;Segunda-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;APARTAMENTO;CENTRO;313940;MANHUACU;MG;2;;VITIMA - OUTROS;BRANCA;40,0;F;Sim;MULHER CISGÊNERO;HOMOSSEXUAL;SUPERIOR COMPLETO;SEM RELACIONAMENTO;CENTRO;MANHUACU;MG;INJURIA RACIAL;Consumado
A2026ID10019;2026-07-27 16:35:00;De 16:00 as 16:59;7;2026;Segunda-Feira;FECHADO;CALUNIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;ESCRITA FISICA;URBANO;HOSPITAL/SANTA CASA;CENTRO;310420;ARCOS;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;BRANCA;34,0;M;Não;HOMEM CISGÊNERO;NAO INFORMADA;SUPERIOR COMPLETO;OUTROS - RELACAO VITIMA AUTOR;CENTRO;ARCOS;MG;CALUNIA;Consumado
A2026ID10019;2026-07-27 16:35:00;De 16:00 as 16:59;7;2026;Segunda-Feira;FECHADO;CALUNIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;ESCRITA FISICA;URBANO;HOSPITAL/SANTA CASA;CENTRO;310420;ARCOS;MG;2;SEM PRISAO;AUTOR;IGNORADA;39,0;M;Não;NAO INFORMADA;NAO INFORMADA;ESCOLARIDADE - IGNORADA;;CENTRO;ARCOS;MG;CALUNIA;Consumado
A2026ID10020;2026-07-27 11:30:00;De 11:00 as 11:59;7;2026;Segunda-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;BAR / LANCHONETE / RESTAURANTE / SIMILAR;UNIAO;310620;BELO HORIZONTE;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;PARDA;22,0;M;Não;NAO INFORMADA;NAO INFORMADA;SUPERIOR INCOMPLETO;COLEGA DE TRABALHO / SUPERIOR HIERARQUICO;ANA LUCIA;SABARA;MG;INJURIA RACIAL;Consumado
A2026ID10021;2026-07-27 03:00:00;De 03:00 as 03:59;7;2026;Segunda-Feira;FECHADO;LESAO CORPORAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;INSTRUMENTO CONTUNDENTE / CORTANTE / PERFURANTE (ARMA BRANCA);URBANO;VIA DE ACESSO PUBLICA;SAO MATEUS;313670;JUIZ DE FORA;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;BRANCA;25,0;M;Não;NAO INFORMADA;NAO INFORMADA;ENSINO FUNDAMENTAL INCOMPLETO (COMPREENDE OS PRIMEIROS OITO ANOS DE ESTUDO);IGNORADA;SANTA LUZIA;JUIZ DE FORA;MG;LESAO CORPORAL;Consumado
A2026ID10023;2026-07-26 13:40:00;De 13:00 as 13:59;7;2026;Domingo;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;RURAL;FAZENDA;;314800;PATOS DE MINAS;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;BRANCA;29,0;M;Sim;NAO INFORMADA;HOMOSSEXUAL;SUPERIOR COMPLETO;OUTRO PARENTESCO;SETOR INDUSTRIAL;PATOS DE MINAS;MG;AMEACA;Consumado
A2026ID10024;2026-07-26 02:04:00;De 02:00 as 02:59;7;2026;Domingo;FECHADO;LESAO CORPORAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;CASA;JARDIM DAS ALTEROSAS - SEGUNDA SECAO;310670;BETIM;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;PARDA;36,0;M;Sim;NAO INFORMADA;HOMOSSEXUAL;ENSINO MEDIO COMPLETO (2º GRAU);FILHO / ENTEADO;JARDIM DAS ALTEROSAS - SEGUNDA SECAO;BETIM;MG;LESAO CORPORAL;Consumado
A2026ID10024;2026-07-26 02:04:00;De 02:00 as 02:59;7;2026;Domingo;FECHADO;LESAO CORPORAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;CASA;JARDIM DAS ALTEROSAS - SEGUNDA SECAO;310670;BETIM;MG;2;SEM PRISAO;AUTOR;IGNORADA;47,0;M;Não;NAO INFORMADA;NAO INFORMADA;ESCOLARIDADE - IGNORADA;;JARDIM DAS ALTEROSAS - SEGUNDA SECAO;BETIM;MG;LESAO CORPORAL;Consumado
A2026ID10026;2026-07-25 15:59:00;De 15:00 as 15:59;7;2026;Sabado;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;MERCEARIA / SACOLAO / SUPERMERCADO;TIBERY;317020;UBERLANDIA;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;BRANCA;19,0;M;Sim;MULHER TRANSEXUAL;BISSEXUAL;ENSINO MEDIO COMPLETO (2º GRAU);COLEGA DE TRABALHO / SUPERIOR HIERARQUICO;JARDIM PATRICIA;UBERLANDIA;MG;INJURIA;Consumado
A2026ID10027;2026-07-24 10:43:00;De 10:00 as 10:59;7;2026;Sexta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;MERCEARIA / SACOLAO / SUPERMERCADO;PRESIDENTE ROOSEVELT;317020;UBERLANDIA;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;PRETO;25,0;M;Sim;HOMEM CISGÊNERO;HOMOSSEXUAL;ENSINO MEDIO COMPLETO (2º GRAU);AMIGO / CONHECIDO;PRESIDENTE ROOSEVELT;UBERLANDIA;MG;INJURIA;Consumado
A2026ID10031;2026-07-24 09:39:00;De 09:00 as 09:59;7;2026;Sexta-Feira;FECHADO;ATENDIMENTO DE DENUNCIA DE INFRACOES DE DISCRIMINACAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;SEM EMPREGO DE INSTRUMENTOS;URBANO;OUTROS - ESTABELECIMENTOS DE LAZER/ CULTURA /;JARDIM IPIRANGA;316935;TRES MARIAS;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;BRANCA;36,0;M;Sim;NAO INFORMADA;HOMOSSEXUAL;SUPERIOR COMPLETO;OUTROS - RELACAO VITIMA AUTOR;JARDIM IPIRANGA;TRES MARIAS;MG;ATENDIMENTO DE DENUNCIA DE INFRACOES DE DISCRIMINACAO;Consumado
A2026ID10031;2026-07-24 09:39:00;De 09:00 as 09:59;7;2026;Sexta-Feira;FECHADO;ATENDIMENTO DE DENUNCIA DE INFRACOES DE DISCRIMINACAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;SEM EMPREGO DE INSTRUMENTOS;URBANO;OUTROS - ESTABELECIMENTOS DE LAZER/ CULTURA /;JARDIM IPIRANGA;316935;TRES MARIAS;MG;2;SEM PRISAO;SUSPEITO;PRETO;28,0;F;Não;NAO INFORMADA;NAO INFORMADA;SUPERIOR INCOMPLETO;;;;;ATENDIMENTO DE DENUNCIA DE INFRACOES DE DISCRIMINACAO;Consumado
A2026ID10033;2026-07-22 14:23:00;De 14:00 as 14:59;7;2026;Quarta-Feira;FECHADO;ATENDIMENTO DE DENUNCIA DE INFRACOES DE DISCRIMINACAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO UTILIZADO - IGNORADO;URBANO;OUTROS - INSTITUICAO FILANTROPICA / ONG;DNER;316935;TRES MARIAS;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;BRANCA;30,0;M;Sim;MULHER TRANSEXUAL;HETEROSSEXUAL;ENSINO MEDIO INCOMPLETO ( 2º GRAU);COLEGA DE TRABALHO / SUPERIOR HIERARQUICO;ERMIRIO DE MORAIS;TRES MARIAS;MG;ATENDIMENTO DE DENUNCIA DE INFRACOES DE DISCRIMINACAO;Consumado
A2026ID10033;2026-07-22 14:23:00;De 14:00 as 14:59;7;2026;Quarta-Feira;FECHADO;ATENDIMENTO DE DENUNCIA DE INFRACOES DE DISCRIMINACAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO UTILIZADO - IGNORADO;URBANO;OUTROS - INSTITUICAO FILANTROPICA / ONG;DNER;316935;TRES MARIAS;MG;2;SEM PRISAO;AUTOR;BRANCA;47,0;F;Não;NAO INFORMADA;NAO INFORMADA;ESCOLARIDADE - IGNORADA;;DNER;TRES MARIAS;MG;ATENDIMENTO DE DENUNCIA DE INFRACOES DE DISCRIMINACAO;Consumado
A2026ID10033;2026-07-22 14:23:00;De 14:00 as 14:59;7;2026;Quarta-Feira;FECHADO;ATENDIMENTO DE DENUNCIA DE INFRACOES DE DISCRIMINACAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO UTILIZADO - IGNORADO;URBANO;OUTROS - INSTITUICAO FILANTROPICA / ONG;DNER;316935;TRES MARIAS;MG;3;SEM PRISAO;AUTOR;PARDA;40,0;F;Não;NAO INFORMADA;NAO INFORMADA;ESCOLARIDADE - IGNORADA;;DNER;TRES MARIAS;MG;ATENDIMENTO DE DENUNCIA DE INFRACOES DE DISCRIMINACAO;Consumado
A2026ID10035;2026-07-22 14:20:00;De 14:00 as 14:59;7;2026;Quarta-Feira;FECHADO;OUTRAS INFRACOES CONTRA DIGNIDADE SEXUAL E A FAMILIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;DELFINO MAGALHAES;314330;MONTES CLAROS;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;PARDA;33,0;F;Sim;MULHER CISGÊNERO;HOMOSSEXUAL;SUPERIOR COMPLETO;SEM RELACIONAMENTO;AUGUSTA MOTA;MONTES CLAROS;MG;OUTRAS INFRACOES CONTRA DIGNIDADE SEXUAL E A FAMILIA;Consumado
A2026ID10038;2026-07-22 11:30:00;De 11:00 as 11:59;7;2026;Quarta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;MERCEARIA / SACOLAO / SUPERMERCADO;;310620;BELO HORIZONTE;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;PARDA;20,0;F;Sim;HOMEM TRANSEXUAL;HETEROSSEXUAL;SUPERIOR INCOMPLETO;SEM RELACIONAMENTO;VILA OESTE;BELO HORIZONTE;MG;INJURIA;Consumado
A2026ID10038;2026-07-22 11:30:00;De 11:00 as 11:59;7;2026;Quarta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;MERCEARIA / SACOLAO / SUPERMERCADO;;310620;BELO HORIZONTE;MG;2;SEM PRISAO;AUTOR;IGNORADA;18,0;M;Não;NAO INFORMADA;NAO INFORMADA;ESCOLARIDADE - IGNORADA;;;BELO HORIZONTE;MG;INJURIA;Consumado
A2026ID10040;2026-07-21 17:11:00;De 17:00 as 17:59;7;2026;Terça-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;USO DE SINAIS, GESTOS OU IMAGENS;URBANO;BAR / LANCHONETE / RESTAURANTE / SIMILAR;CENTRO;313930;MANGA;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;PARDA;30,0;M;Sim;HOMEM TRANSEXUAL;HOMOSSEXUAL;SUPERIOR COMPLETO;SEM RELACIONAMENTO;AEROPORTO;MANGA;MG;INJURIA;Consumado
A2026ID10040;2026-07-21 17:11:00;De 17:00 as 17:59;7;2026;Terça-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;USO DE SINAIS, GESTOS OU IMAGENS;URBANO;BAR / LANCHONETE / RESTAURANTE / SIMILAR;CENTRO;313930;MANGA;MG;2;;VITIMA DE ACAO CRIMINAL / CIVEL;PARDA;21,0;M;Sim;HOMEM TRANSEXUAL;HOMOSSEXUAL;ENSINO MEDIO COMPLETO (2º GRAU);SEM RELACIONAMENTO;ARVOREDO;MANGA;MG;INJURIA;Consumado
A2026ID10040;2026-07-21 17:11:00;De 17:00 as 17:59;7;2026;Terça-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;USO DE SINAIS, GESTOS OU IMAGENS;URBANO;BAR / LANCHONETE / RESTAURANTE / SIMILAR;CENTRO;313930;MANGA;MG;3;TCO/FLAGRANTE DE INFRACAO DE MENOR POTENCIAL OFENSIVO;AUTOR;PRETO;53,0;M;Não;NAO INFORMADA;NAO INFORMADA;ENSINO FUNDAMENTAL INCOMPLETO (COMPREENDE OS PRIMEIROS OITO ANOS DE ESTUDO);;ARVOREDO;MANGA;MG;INJURIA;Consumado
A2026ID10042;2026-07-19 03:08:00;De 03:00 as 03:59;7;2026;Domingo;FECHADO;DESACATO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;VILA NOVA;317090;VARZELANDIA;MG;1;FLAGRANTE DE CRIME / CONTRAVENCAO;AUTOR;PARDA;35,0;M;Não;NAO INFORMADA;NAO INFORMADA;ENSINO FUNDAMENTAL INCOMPLETO (COMPREENDE OS PRIMEIROS OITO ANOS DE ESTUDO);;;VARZELANDIA;MG;DESACATO;Consumado
A2026ID10044;2026-07-17 12:44:00;De 12:00 as 12:59;7;2026;Sexta-Feira;FECHADO;ATEND. DENUNCIA DE INFRACOES CONTRA CRIANCAS E ADOLESCENTES;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;INSTITUICAO DE ENSINO PUBLICO MUNICIPAL;PALMITAL;315780;SANTA LUZIA;MG;2;SEM PRISAO;AUTOR;IGNORADA;35,0;F;Não;NAO INFORMADA;NAO INFORMADA;OUTROS - ESCOLARIDADE;;PALMITAL;SANTA LUZIA;MG;ATEND. DENUNCIA DE INFRACOES CONTRA CRIANCAS E ADOLESCENTES;Consumado
A2026ID10046;2026-07-14 14:11:00;De 14:00 as 14:59;7;2026;Terça-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA;ARAGUAIA;310620;BELO HORIZONTE;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;IGNORADA;25,0;M;Sim;HOMEM CISGÊNERO;HOMOSSEXUAL;ESCOLARIDADE - IGNORADA;SEM RELACIONAMENTO;ARAGUAIA;BELO HORIZONTE;MG;INJURIA;Consumado
A2026ID10046;2026-07-14 14:11:00;De 14:00 as 14:59;7;2026;Terça-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA;ARAGUAIA;310620;BELO HORIZONTE;MG;2;SEM PRISAO;AUTOR;IGNORADA;40,0;F;Não;NAO INFORMADA;NAO INFORMADA;ESCOLARIDADE - IGNORADA;;jardim nordeste;SAO PAULO;SP;INJURIA;Consumado
