id_ocorrencia;data_hora_ocorrencia;faixa_1_hora_fato;mes;ano;dia_da_semana;status_registro;natureza_principal;tentado_consumado_nat_principal;causa_presumida;meio_utilizado;perimetro;local_imediato;bairro;municipio_codigo;municipio_fato;uf_sigla;numero_envolvido_ocorrencia;conducao_a_delegacia;tipo_envolvimento;raca_etnia;idade_aparente;sexo_codigo;lgbtqia;identidade_de_genero;orientacao_sexual;escolaridade;relacao_vitima_autor;bairro_envolvido;municipio_envolvido;uf_sigla_envolvido;natureza_delito_envolvido;tentado_consumado_delito_envolvido
A2026ID10000;2026-07-30 15:40:00;De 15:00 as 15:59;7;2026;Quinta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;CENTRO;315840;SANTANA DE CATAGUASES;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;PARDA;40,0;M;Sim;NAO INFORMADA;HOMOSSEXUAL;ALFABETIZADO;SEM RELACIONAMENTO;;SANTANA DE CATAGUASES;MG;INJURIA;Consumado
A2026ID10000;2026-07-30 15:40:00;De 15:00 as 15:59;7;2026;Quinta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;CENTRO;315840;SANTANA DE CATAGUASES;MG;2;SEM PRISAO;AUTOR;PRETO;52,0;F;Não;NAO INFORMADA;NAO INFORMADA;ALFABETIZADO;;;SANTANA DE CATAGUASES;MG;INJURIA;Consumado
A2026ID10001;2026-07-30 12:56:00;De 12:00 as 12:59;7;2026;Quinta-Feira;FECHADO;LESAO CORPORAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;VIA DE ACESSO PUBLICA;CENTRO;312710;FRUTAL;MG;1;FLAGRANTE DE CRIME / CONTRAVENCAO;AUTOR;PARDA;37,0;M;Não;NAO INFORMADA;NAO INFORMADA;ENSINO MEDIO INCOMPLETO ( 2º GRAU);;NOSSA SENHORA APARECIDA;FRUTAL;MG;LESAO CORPORAL;Consumado
A2026ID10001;2026-07-30 12:56:00;De 12:00 as 12:59;7;2026;Quinta-Feira;FECHADO;LESAO CORPORAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;VIA DE ACESSO PUBLICA;CENTRO;312710;FRUTAL;MG;4;;VITIMA DE ACAO CRIMINAL / CIVEL;PRETO;23,0;F;Sim;MULHER TRANSEXUAL;NAO INFORMADA;ESCOLARIDADE - IGNORADA;SEM RELACIONAMENTO;PRINCESA ISABEL;FRUTAL;MG;LESAO CORPORAL;Consumado
A2026ID10003;2026-07-30 01:25:00;De 01:00 as 01:59;7;2026;Quinta-Feira;FECHADO;LESAO CORPORAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;CASA;MORRO ALTO;317120;VESPASIANO;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;PARDA;21,0;M;Sim;MULHER TRANSEXUAL;NAO INFORMADA;ENSINO FUNDAMENTAL COMPLETO (COMPREENDE OS PRIMEIROS OITO ANOS DE ESTUDO);IRMAO;MORRO ALTO;VESPASIANO;MG;LESAO CORPORAL;Consumado
A2026ID10003;2026-07-30 01:25:00;De 01:00 as 01:59;7;2026;Quinta-Feira;FECHADO;LESAO CORPORAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;CASA;MORRO ALTO;317120;VESPASIANO;MG;2;FLAGRANTE DE CRIME / CONTRAVENCAO;AUTOR;PARDA;25,0;M;Não;NAO INFORMADA;NAO INFORMADA;ESCOLARIDADE - IGNORADA;;MORRO ALTO;VESPASIANO;MG;LESAO CORPORAL;Consumado
A2026ID10005;2026-07-29 19:00:00;De 19:00 as 19:59;7;2026;Quarta-Feira;FECHADO;VIAS DE FATO / AGRESSAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;SHOPPING CENTER;DISTRITO INDUSTRIAL FERNAO DIAS;310670;BETIM;MG;2;;VITIMA DE ACAO CRIMINAL / CIVEL;BRANCA;17,0;F;Sim;NAO INFORMADA;BISSEXUAL;ENSINO MEDIO INCOMPLETO ( 2º GRAU);SEM RELACIONAMENTO;RESPLENDOR;IGARAPE;MG;VIAS DE FATO / AGRESSAO;Consumado
A2026ID10005;2026-07-29 19:00:00;De 19:00 as 19:59;7;2026;Quarta-Feira;FECHADO;VIAS DE FATO / AGRESSAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;SHOPPING CENTER;DISTRITO INDUSTRIAL FERNAO DIAS;310670;BETIM;MG;3;;VITIMA DE ACAO CRIMINAL / CIVEL;PARDA;17,0;F;Sim;NAO INFORMADA;HOMOSSEXUAL;ENSINO MEDIO INCOMPLETO ( 2º GRAU);SEM RELACIONAMENTO;RESPLENDOR;IGARAPE;MG;VIAS DE FATO / AGRESSAO;Consumado
A2026ID10006;2026-07-29 14:30:00;De 14:00 as 14:59;7;2026;Quarta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;CENTRO;310740;BOM DESPACHO;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;BRANCA;23,0;M;Sim;NAO INFORMADA;HOMOSSEXUAL;SUPERIOR INCOMPLETO;IGNORADA;JARDIM AMERICA;BOM DESPACHO;MG;INJURIA;Consumado
A2026ID10007;2026-07-28 22:18:00;De 22:00 as 22:59;7;2026;Terça-Feira;FECHADO;VIAS DE FATO / AGRESSAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;VIOLENCIA OU VIAS DE FATO;URBANO;VIA DE ACESSO PUBLICA;SANTA MONICA;317020;UBERLANDIA;MG;1;;VITIMA DE ACAO CRIMINAL / CIVEL;PRETO;21,0;M;Sim;MULHER TRANSEXUAL;HETEROSSEXUAL;SUPERIOR INCOMPLETO;SEM RELACIONAMENTO;SANTA MONICA;UBERLANDIA;MG;VIAS DE FATO / AGRESSAO;Consumado
